,date,team,against,home,goalie,dec,SA,SV,TOI,,,,
517,11/30/17,ARI,CGY,@,Scott Wedgewood,L,44,41,60:00:00,,,,
22,12/2/17,ARI,NJD,h,Scott Wedgewood,W,27,27,59:43:00,,,,
2237,12/3/17,ARI,VEG,@,Scott Wedgewood,O,45,42,63:51:00,,,,
355,12/7/17,ARI,BOS,@,Scott Wedgewood,L,32,26,60:00:00,,,,
277,12/9/17,ARI,CBJ,@,Antti Raanta,L,34,33,58:55:00,,,,
685,12/10/17,ARI,CHI,@,Scott Wedgewood,L,37,34,58:17:00,,,,
24,12/14/17,ARI,TBL,h,Antti Raanta,L,48,44,59:53:00,,,,
26,12/16/17,ARI,PIT,h,Antti Raanta,L,32,29,59:46:00,,,,
28,12/19/17,ARI,FLA,h,Antti Raanta,L,26,23,58:18:00,,,,
30,12/22/17,ARI,WSH,h,Scott Wedgewood,W,17,15,64:16:00,,,,
32,12/23/17,ARI,COL,h,Antti Raanta,L,19,16,33:26:00,,,,
199,12/27/17,ARI,COL,@,Antti Raanta,W,26,25,59:52:00,,,,
34,12/28/17,ARI,TOR,h,Scott Wedgewood,L,32,26,59:45:00,,,,
123,12/31/17,ARI,ANA,@,Antti Raanta,L,25,21,58:51:00,,,,
36,1/4/18,ARI,NSH,h,Antti Raanta,W,39,37,62:19:00,,,,
38,1/6/18,ARI,NYR,h,Antti Raanta,O,25,24,65:00:00,,,,
40,1/12/18,ARI,EDM,h,Antti Raanta,L,26,23,58:46:00,,,,
1927,1/13/18,ARI,SJS,@,Scott Wedgewood,O,44,38,62:42:00,,,,
42,1/16/18,ARI,SJS,h,Antti Raanta,O,22,20,65:00:00,,,,
1353,1/18/18,ARI,NSH,@,Antti Raanta,O,39,37,65:00:00,,,,
2017,1/20/18,ARI,STL,@,Antti Raanta,W,27,25,60:00:00,,,,
44,1/22/18,ARI,NYI,h,Antti Raanta,W,34,32,62:21:00,,,,
46,1/25/18,ARI,CBJ,h,Antti Raanta,L,27,25,58:34:00,,,,
48,2/1/18,ARI,DAL,h,Scott Wedgewood,L,24,21,59:13:00,,,,
