,date,team,against,home,goalie,dec,SA,SV,TOI,,,,
743,10/14/17,COL,DAL,@,Semyon Varlamov,L,35,33,58:51:00,,,,
1317,10/17/17,COL,NSH,@,Semyon Varlamov,L,34,30,60:00:00,,,,
168,10/19/17,COL,STL,h,Jonathan Bernier,L,28,24,58:19:00,,,,
170,10/24/17,COL,DAL,h,Semyon Varlamov,W,37,34,59:41:00,,,,
2227,10/27/17,COL,VEG,@,Semyon Varlamov,L,21,14,59:57:00,,,,
172,10/28/17,COL,CHI,h,Jonathan Bernier,W,42,39,60:00:00,,,,
174,11/2/17,COL,CAR,h,Semyon Varlamov,W,60,57,59:44:00,,,,
1735,11/4/17,COL,PHI,@,Semyon Varlamov,W,37,33,65:00:00,,,,
1487,11/5/17,COL,NYI,@,Jonathan Bernier,L,28,22,60:00:00,,,,
176,11/10/17,COL,OTT,h,Semyon Varlamov,O,32,28,60:59:00,,,,
1661,11/11/17,COL,OTT,@,Jonathan Bernier,L,40,36,58:31:00,,,,
178,11/16/17,COL,WSH,h,Semyon Varlamov,W,30,28,60:00:00,,,,
1327,11/18/17,COL,NSH,@,Semyon Varlamov,L,24,19,60:00:00,,,,
837,11/19/17,COL,DET,@,Jonathan Bernier,W,24,21,61:55:00,,,,
180,11/22/17,COL,DAL,h,Jonathan Bernier,W,28,28,59:48:00,,,,
1169,11/24/17,COL,MIN,@,Jonathan Bernier,O,27,25,65:00:00,,,,
182,11/25/17,COL,CGY,h,Jonathan Bernier,L,28,25,58:46:00,,,,
184,11/29/17,COL,WPG,h,Semyon Varlamov,W,33,31,60:44:00,,,,
186,12/1/17,COL,NJD,h,Semyon Varlamov,L,21,19,57:50:00,,,,
188,12/3/17,COL,DAL,h,Semyon Varlamov,,18,16,30:07:00,,,,
190,12/5/17,COL,BUF,h,Semyon Varlamov,L,34,31,58:02:00,,,,
2079,12/7/17,COL,TBL,@,Semyon Varlamov,L,31,27,58:44:00,,,,
1013,12/9/17,COL,FLA,@,Semyon Varlamov,W,42,39,60:00:00,,,,
1835,12/11/17,COL,PIT,@,Jonathan Bernier,W,40,39,60:00:00,,,,
2331,12/12/17,COL,WSH,@,Semyon Varlamov,L,26,22,59:48:00,,,,
192,12/14/17,COL,FLA,h,Semyon Varlamov,W,33,32,59:57:00,,,,
194,12/16/17,COL,TBL,h,Jonathan Bernier,L,31,25,57:17:00,,,,
196,12/18/17,COL,PIT,h,Semyon Varlamov,W,32,30,60:00:00,,,,
1101,12/21/17,COL,LAK,@,Semyon Varlamov,O,27,25,60:44:00,,,,
33,12/23/17,COL,ARI,@,Semyon Varlamov,W,34,32,60:00:00,,,,
198,12/27/17,COL,ARI,h,Semyon Varlamov,L,27,24,57:55:00,,,,
200,12/29/17,COL,TOR,h,Semyon Varlamov,W,34,31,63:25:00,,,,
202,12/31/17,COL,NYI,h,Jonathan Bernier,W,28,27,60:00:00,,,,
204,1/2/18,COL,WPG,h,Semyon Varlamov,,21,21,34:15:00,,,,
206,1/4/18,COL,CBJ,h,Jonathan Bernier,W,34,34,59:49:00,,,,
208,1/6/18,COL,MIN,h,Jonathan Bernier,W,36,34,60:00:00,,,,
783,1/13/18,COL,DAL,@,Jonathan Bernier,W,28,27,60:00:00,,,,
210,1/15/18,COL,ANA,h,Jonathan Bernier,W,34,33,60:00:00,,,,
212,1/18/18,COL,SJS,h,Jonathan Bernier,W,48,45,60:00:00,,,,
214,1/20/18,COL,NYR,h,Jonathan Bernier,W,28,27,60:00:00,,,,
1281,1/23/18,COL,MTL,@,Jonathan Bernier,L,39,36,59:43:00,,,,
2021,1/25/18,COL,STL,@,Jonathan Bernier,L,34,31,58:45:00,,,,
2181,1/30/18,COL,VAN,@,Jonathan Bernier,O,26,22,60:37:00,,,,
953,2/1/18,COL,EDM,@,Jonathan Bernier,W,32,29,62:15:00,,,,
2425,2/3/18,COL,WPG,@,Semyon Varlamov,L,31,29,58:34:00,,,,
216,2/6/18,COL,SJS,h,Jonathan Bernier,W,39,38,60:00:00,,,,
2027,2/8/18,COL,STL,@,Semyon Varlamov,,11,8,34:20:00,,,,
629,2/10/18,COL,CAR,@,Semyon Varlamov,L,35,32,57:45:00,,,,
463,2/11/18,COL,BUF,@,Jonathan Bernier,W,32,28,59:39:00,,,,
218,2/14/18,COL,MTL,h,Semyon Varlamov,W,44,44,59:55:00,,,,
2435,2/16/18,COL,WPG,@,Jonathan Bernier,L,20,16,39:57:00,,,,
220,2/18/18,COL,EDM,h,Semyon Varlamov,L,39,36,58:23:00,,,,
2191,2/20/18,COL,VAN,@,Semyon Varlamov,W,28,24,63:36:00,,,,
961,2/22/18,COL,EDM,@,Semyon Varlamov,O,46,43,62:19:00,,,,
555,2/24/18,COL,CGY,@,Semyon Varlamov,L,29,24,59:43:00,,,,
222,2/26/18,COL,VAN,h,Semyon Varlamov,W,32,31,59:53:00,,,,
224,2/28/18,COL,CGY,h,Semyon Varlamov,W,32,30,60:00:00,,,,
226,3/2/18,COL,MIN,h,Semyon Varlamov,W,32,31,60:00:00,,,,
228,3/4/18,COL,NSH,h,Semyon Varlamov,O,31,27,60:34:00,,,,
721,3/6/18,COL,CHI,@,Semyon Varlamov,O,27,25,60:09:00,,,,
313,3/8/18,COL,CBJ,@,Semyon Varlamov,O,44,39,60:26:00,,,,
230,3/10/18,COL,ARI,h,Jonathan Bernier,W,24,22,46:47:00,,,,
1219,3/13/18,COL,MIN,@,Semyon Varlamov,W,34,33,60:00:00,,,,
2037,3/15/18,COL,STL,@,Semyon Varlamov,W,45,44,60:00:00,,,,
232,3/16/18,COL,NSH,h,Semyon Varlamov,L,27,24,58:41:00,,,,
234,3/18/18,COL,DET,h,Semyon Varlamov,W,38,37,60:00:00,,,,
729,3/20/18,COL,CHI,@,Semyon Varlamov,W,45,44,60:00:00,,,,
236,3/22/18,COL,LAK,h,Semyon Varlamov,L,20,15,32:27:00,,,,
238,3/24/18,COL,VEG,h,Semyon Varlamov,W,40,39,65:00:00,,,,
2289,3/26/18,COL,VEG,@,Semyon Varlamov,L,29,26,57:33:00,,,,
240,3/28/18,COL,PHI,h,Andrew Hammond,L,33,31,58:22:00,,,,
242,3/30/18,COL,CHI,h,Semyon Varlamov,W,30,30,53:31:00,,,,
159,4/1/18,COL,ANA,@,Jonathan Bernier,O,42,38,61:34:00,,,,
1143,4/2/18,COL,LAK,@,Jonathan Bernier,L,25,22,57:28:00,,,,
1965,4/5/18,COL,SJS,@,Jonathan Bernier,L,35,32,58:43:00,,,,
244,4/7/18,COL,STL,h,Jonathan Bernier,W,34,32,59:45:00,,,,
738,10/6/17,DAL,VEG,h,Ben Bishop,,19,19,43:58:00,,,,
1969,10/7/17,DAL,STL,@,Kari Lehtonen,L,21,17,57:02:00,,,,
740,10/10/17,DAL,DET,h,Ben Bishop,W,25,23,60:00:00,,,,
1315,10/12/17,DAL,NSH,@,Ben Bishop,L,30,27,58:01:00,,,,
742,10/14/17,DAL,COL,h,Ben Bishop,W,23,22,59:46:00,,,,
744,10/17/17,DAL,ARI,h,Ben Bishop,W,28,27,60:00:00,,,,
7,10/19/17,DAL,ARI,@,Ben Bishop,W,31,27,60:00:00,,,,
746,10/21/17,DAL,CAR,h,Ben Bishop,W,39,36,60:00:00,,,,
171,10/24/17,DAL,COL,@,Kari Lehtonen,L,15,14,33:23:00,,,,
911,10/26/17,DAL,EDM,@,Ben Bishop,L,35,30,59:00:00,,,,
501,10/27/17,DAL,CGY,@,Kari Lehtonen,W,30,29,60:00:00,,,,
2143,10/30/17,DAL,VAN,@,Ben Bishop,W,39,38,62:32:00,,,,
2389,11/2/17,DAL,WPG,@,Ben Bishop,L,26,22,58:35:00,,,,
748,11/4/17,DAL,BUF,h,Kari Lehtonen,W,28,27,60:00:00,,,,
750,11/6/17,DAL,WPG,h,Ben Bishop,L,25,22,57:12:00,,,,
752,11/10/17,DAL,NYI,h,Ben Bishop,W,14,14,60:00:00,,,,
589,11/13/17,DAL,CAR,@,Ben Bishop,L,28,23,60:00:00,,,,
1001,11/14/17,DAL,FLA,@,Kari Lehtonen,O,29,26,64:54:00,,,,
2069,11/16/17,DAL,TBL,@,Ben Bishop,L,28,22,60:00:00,,,,
754,11/18/17,DAL,EDM,h,Ben Bishop,W,18,18,39:14:00,,,,
756,11/21/17,DAL,MTL,h,Ben Bishop,W,30,29,60:00:00,,,,
181,11/22/17,DAL,COL,@,Ben Bishop,L,32,29,60:00:00,,,,
758,11/24/17,DAL,CGY,h,Ben Bishop,W,38,34,59:54:00,,,,
2235,11/28/17,DAL,VEG,@,Ben Bishop,W,34,34,59:57:00,,,,
679,11/30/17,DAL,CHI,@,Ben Bishop,W,22,19,60:51:00,,,,
760,12/2/17,DAL,CHI,h,Ben Bishop,W,34,32,64:54:00,,,,
189,12/3/17,DAL,COL,@,Kari Lehtonen,W,27,25,59:59:00,,,,
762,12/5/17,DAL,NSH,h,Kari Lehtonen,,17,15,35:34:00,,,,
1997,12/7/17,DAL,STL,@,Kari Lehtonen,L,26,24,58:32:00,,,,
764,12/9/17,DAL,VEG,h,Ben Bishop,L,38,34,58:31:00,,,,
1597,12/11/17,DAL,NYR,@,Kari Lehtonen,W,25,24,65:00:00,,,,
1501,12/13/17,DAL,NYI,@,Kari Lehtonen,W,34,32,59:43:00,,,,
1423,12/15/17,DAL,NJD,@,Kari Lehtonen,L,25,21,58:10:00,,,,
1755,12/16/17,DAL,PHI,@,Ben Bishop,O,30,28,63:50:00,,,,
766,12/19/17,DAL,WSH,h,Ben Bishop,O,28,24,61:51:00,,,,
768,12/21/17,DAL,CHI,h,Ben Bishop,W,24,24,59:24:00,,,,
770,12/23/17,DAL,NSH,h,Ben Bishop,W,32,29,64:56:00,,,,
1181,12/27/17,DAL,MIN,@,Ben Bishop,L,30,27,58:55:00,,,,
772,12/29/17,DAL,STL,h,Ben Bishop,W,37,35,60:00:00,,,,
774,12/31/17,DAL,SJS,h,Ben Bishop,W,26,26,59:57:00,,,,
776,1/2/18,DAL,CBJ,h,Ben Bishop,L,26,24,58:26:00,,,,
778,1/4/18,DAL,NJD,h,Ben Bishop,W,42,39,60:00:00,,,,
780,1/6/18,DAL,EDM,h,Ben Bishop,W,38,37,60:00:00,,,,
782,1/13/18,DAL,COL,h,Ben Bishop,L,22,19,58:50:00,,,,
373,1/15/18,DAL,BOS,@,Kari Lehtonen,W,32,30,62:01:00,,,,
867,1/16/18,DAL,DET,@,Ben Bishop,W,15,13,60:00:00,,,,
293,1/18/18,DAL,CBJ,@,Ben Bishop,O,26,25,64:31:00,,,,
451,1/20/18,DAL,BUF,@,Kari Lehtonen,W,27,26,60:00:00,,,,
784,1/23/18,DAL,FLA,h,Ben Bishop,W,34,33,60:00:00,,,,
786,1/25/18,DAL,TOR,h,Ben Bishop,L,29,25,59:34:00,,,,
788,1/30/18,DAL,LAK,h,Ben Bishop,L,42,39,60:00:00,,,,
49,2/1/18,DAL,ARI,@,Kari Lehtonen,W,18,17,60:00:00,,,,
790,2/3/18,DAL,MIN,h,Kari Lehtonen,W,31,30,60:00:00,,,,
792,2/5/18,DAL,NYR,h,Ben Bishop,W,32,31,59:44:00,,,,
709,2/8/18,DAL,CHI,@,Ben Bishop,W,39,37,60:00:00,,,,
794,2/9/18,DAL,PIT,h,Kari Lehtonen,W,37,34,65:00:00,,,,
796,2/11/18,DAL,VAN,h,Kari Lehtonen,,21,19,35:19:00,,,,
798,2/16/18,DAL,STL,h,Ben Bishop,W,29,28,59:52:00,,,,
1943,2/18/18,DAL,SJS,@,Kari Lehtonen,,23,22,41:55:00,,,,
139,2/21/18,DAL,ANA,@,Ben Bishop,L,17,15,56:24:00,,,,
1119,2/22/18,DAL,LAK,@,Kari Lehtonen,W,18,18,60:00:00,,,,
800,2/24/18,DAL,WPG,h,Kari Lehtonen,L,21,17,31:59:00,,,,
802,2/27/18,DAL,CGY,h,Ben Bishop,W,38,38,60:00:00,,,,
804,3/1/18,DAL,TBL,h,Ben Bishop,O,25,20,62:30:00,,,,
806,3/3/18,DAL,STL,h,Ben Bishop,W,37,35,62:34:00,,,,
808,3/5/18,DAL,OTT,h,Kari Lehtonen,O,18,15,41:17:00,,,,
1377,3/6/18,DAL,NSH,@,Kari Lehtonen,L,33,32,59:05:00,,,,
810,3/9/18,DAL,ANA,h,Kari Lehtonen,W,27,26,59:39:00,,,,
1873,3/11/18,DAL,PIT,@,Kari Lehtonen,L,29,27,58:23:00,,,,
1299,3/13/18,DAL,MTL,@,Kari Lehtonen,L,26,22,57:58:00,,,,
1709,3/16/18,DAL,OTT,@,Ben Bishop,O,25,22,62:48:00,,,,
2447,3/18/18,DAL,WPG,@,Kari Lehtonen,L,20,17,47:50:00,,,,
2369,3/20/18,DAL,WSH,@,Kari Lehtonen,L,32,28,59:39:00,,,,
812,3/23/18,DAL,BOS,h,Kari Lehtonen,L,36,33,59:38:00,,,,
814,3/25/18,DAL,VAN,h,Kari Lehtonen,L,26,23,57:54:00,,,,
816,3/27/18,DAL,PHI,h,Kari Lehtonen,W,33,31,60:40:00,,,,
1227,3/29/18,DAL,MIN,@,Kari Lehtonen,L,21,17,57:47:00,,,,
818,3/31/18,DAL,MIN,h,Kari Lehtonen,W,34,33,59:21:00,,,,
1963,4/3/18,DAL,SJS,@,Mike McKenna,W,17,17,44:06:00,,,,
163,4/6/18,DAL,ANA,@,Mike McKenna,L,33,28,57:14:00,,,,
1147,4/7/18,DAL,LAK,@,Kari Lehtonen,W,36,34,60:00:00,,,,
820,10/5/17,DET,MIN,h,Jimmy Howard,W,39,37,60:00:00,,,,
1643,10/7/17,DET,OTT,@,Jimmy Howard,W,38,37,65:00:00,,,,
741,10/10/17,DET,DAL,@,Petr Mrazek,L,32,29,57:04:00,,,,
3,10/12/17,DET,ARI,@,Jimmy Howard,W,35,33,60:00:00,,,,
2217,10/13/17,DET,VEG,@,Petr Mrazek,W,27,24,60:00:00,,,,
822,10/16/17,DET,TBL,h,Jimmy Howard,L,26,23,58:55:00,,,,
824,10/20/17,DET,WSH,h,Petr Mrazek,O,41,37,61:14:00,,,,
826,10/22/17,DET,VAN,h,Jimmy Howard,L,37,33,60:00:00,,,,
417,10/24/17,DET,BUF,@,Jimmy Howard,L,32,31,57:54:00,,,,
2061,10/26/17,DET,TBL,@,Jimmy Howard,L,38,35,57:09:00,,,,
993,10/28/17,DET,FLA,@,Jimmy Howard,W,46,44,65:00:00,,,,
828,10/31/17,DET,ARI,h,Jimmy Howard,W,33,30,60:00:00,,,,
1657,11/2/17,DET,OTT,@,Jimmy Howard,L,29,27,57:19:00,,,,
919,11/5/17,DET,EDM,@,Petr Mrazek,W,36,36,60:00:00,,,,
2149,11/6/17,DET,VAN,@,Jimmy Howard,W,28,26,60:00:00,,,,
511,11/9/17,DET,CGY,@,Petr Mrazek,L,33,28,59:45:00,,,,
830,11/11/17,DET,CBJ,h,Jimmy Howard,O,32,31,65:00:00,,,,
832,11/15/17,DET,CGY,h,Jimmy Howard,W,28,26,59:45:00,,,,
834,11/17/17,DET,BUF,h,Jimmy Howard,W,20,19,59:35:00,,,,
836,11/19/17,DET,COL,h,Jimmy Howard,O,37,33,62:55:00,,,,
838,11/22/17,DET,EDM,h,Jimmy Howard,L,19,15,34:22:00,,,,
1587,11/24/17,DET,NYR,@,Jimmy Howard,O,31,29,60:37:00,,,,
840,11/25/17,DET,NJD,h,Petr Mrazek,,24,21,46:12:00,,,,
842,11/28/17,DET,LAK,h,Jimmy Howard,L,36,32,60:00:00,,,,
844,11/30/17,DET,MTL,h,Jimmy Howard,L,25,19,60:00:00,,,,
1259,12/2/17,DET,MTL,@,Petr Mrazek,L,25,20,33:43:00,,,,
846,12/5/17,DET,WPG,h,Jimmy Howard,W,26,25,60:00:00,,,,
848,12/9/17,DET,STL,h,Jimmy Howard,L,10,6,40:00:00,,,,
850,12/11/17,DET,FLA,h,Jimmy Howard,O,29,27,62:02:00,,,,
852,12/13/17,DET,BOS,h,Jimmy Howard,O,32,29,60:10:00,,,,
854,12/15/17,DET,TOR,h,Jimmy Howard,W,26,25,60:00:00,,,,
1505,12/19/17,DET,NYI,@,Petr Mrazek,W,37,34,60:00:00,,,,
1759,12/20/17,DET,PHI,@,Jimmy Howard,L,31,27,57:54:00,,,,
367,12/23/17,DET,BOS,@,Jimmy Howard,L,25,23,59:07:00,,,,
1431,12/27/17,DET,NJD,@,Jimmy Howard,L,31,29,59:00:00,,,,
856,12/29/17,DET,NYR,h,Jimmy Howard,W,39,37,65:00:00,,,,
858,12/31/17,DET,PIT,h,Jimmy Howard,W,38,37,60:00:00,,,,
860,1/3/18,DET,OTT,h,Jimmy Howard,W,34,33,60:06:00,,,,
862,1/5/18,DET,FLA,h,Jimmy Howard,W,40,38,59:58:00,,,,
864,1/7/18,DET,TBL,h,Petr Mrazek,L,24,19,60:00:00,,,,
1847,1/13/18,DET,PIT,@,Jimmy Howard,L,36,32,59:55:00,,,,
699,1/14/18,DET,CHI,@,Petr Mrazek,W,27,27,60:00:00,,,,
866,1/16/18,DET,DAL,h,Jimmy Howard,L,26,22,55:09:00,,,,
868,1/20/18,DET,CAR,h,Jimmy Howard,L,30,27,58:15:00,,,,
1439,1/22/18,DET,NJD,@,Petr Mrazek,W,37,37,60:00:00,,,,
870,1/23/18,DET,PHI,h,Petr Mrazek,O,31,28,60:27:00,,,,
872,1/25/18,DET,CHI,h,Petr Mrazek,,18,17,48:56:00,,,,
874,1/31/18,DET,SJS,h,Petr Mrazek,W,31,30,65:00:00,,,,
621,2/2/18,DET,CAR,@,Petr Mrazek,W,37,36,60:00:00,,,,
1029,2/3/18,DET,FLA,@,Petr Mrazek,L,33,30,59:58:00,,,,
876,2/6/18,DET,BOS,h,Jimmy Howard,L,31,28,57:30:00,,,,
1529,2/9/18,DET,NYI,@,Petr Mrazek,O,29,22,62:32:00,,,,
2355,2/11/18,DET,WSH,@,Jimmy Howard,W,27,23,62:31:00,,,,
878,2/13/18,DET,ANA,h,Jimmy Howard,W,33,32,60:00:00,,,,
2101,2/15/18,DET,TBL,@,Jimmy Howard,L,32,28,60:00:00,,,,
1369,2/17/18,DET,NSH,@,Petr Mrazek,W,32,31,59:37:00,,,,
880,2/18/18,DET,TOR,h,Petr Mrazek,L,34,31,59:32:00,,,,
882,2/20/18,DET,NSH,h,Jimmy Howard,L,29,26,57:52:00,,,,
884,2/22/18,DET,BUF,h,Jimmy Howard,O,30,27,63:55:00,,,,
886,2/24/18,DET,CAR,h,Jimmy Howard,W,29,28,60:00:00,,,,
1625,2/25/18,DET,NYR,@,Jimmy Howard,W,38,36,64:54:00,,,,
2035,2/28/18,DET,STL,@,Jimmy Howard,L,25,23,56:45:00,,,,
2443,3/2/18,DET,WPG,@,Jimmy Howard,L,42,38,59:21:00,,,,
1215,3/4/18,DET,MIN,@,Jimmy Howard,L,26,23,59:25:00,,,,
395,3/6/18,DET,BOS,@,Jimmy Howard,O,21,19,37:07:00,,,,
888,3/8/18,DET,VEG,h,Jimmy Howard,L,32,28,60:00:00,,,,
315,3/9/18,DET,CBJ,@,Jared Coreau,L,36,33,57:59:00,,,,
1955,3/12/18,DET,SJS,@,Jimmy Howard,L,33,29,59:51:00,,,,
1135,3/15/18,DET,LAK,@,Jared Coreau,L,21,18,59:54:00,,,,
153,3/16/18,DET,ANA,@,Jimmy Howard,L,36,32,56:29:00,,,,
235,3/18/18,DET,COL,@,Jared Coreau,L,31,26,60:00:00,,,,
890,3/20/18,DET,PHI,h,Jimmy Howard,W,31,27,65:00:00,,,,
892,3/22/18,DET,WSH,h,Jimmy Howard,L,26,25,58:51:00,,,,
1307,3/26/18,DET,MTL,@,Jared Coreau,L,31,27,57:12:00,,,,
894,3/27/18,DET,PIT,h,Jimmy Howard,W,24,22,59:35:00,,,,
489,3/29/18,DET,BUF,@,Jimmy Howard,W,32,29,59:45:00,,,,
896,3/31/18,DET,OTT,h,Jimmy Howard,W,31,31,60:00:00,,,,
325,4/3/18,DET,CBJ,@,Jimmy Howard,O,41,36,62:55:00,,,,
898,4/5/18,DET,MTL,h,Jared Coreau,L,28,24,58:50:00,,,,
900,4/7/18,DET,NYI,h,Jared Coreau,O,40,36,63:04:00,,,,
902,10/4/17,EDM,CGY,h,Cam Talbot,W,27,27,60:00:00,,,,
2133,10/7/17,EDM,VAN,@,Laurent Brossoit,,19,19,37:56:00,,,,
904,10/9/17,EDM,WPG,h,Cam Talbot,L,43,38,60:00:00,,,,
906,10/14/17,EDM,OTT,h,Cam Talbot,L,23,19,41:04:00,,,,
908,10/17/17,EDM,CAR,h,Laurent Brossoit,L,21,16,57:49:00,,,,
665,10/19/17,EDM,CHI,@,Cam Talbot,W,31,30,64:23:00,,,,
1729,10/21/17,EDM,PHI,@,Cam Talbot,L,24,22,59:11:00,,,,
1811,10/24/17,EDM,PIT,@,Cam Talbot,O,44,42,60:42:00,,,,
910,10/26/17,EDM,DAL,h,Cam Talbot,W,32,28,60:00:00,,,,
912,10/28/17,EDM,WSH,h,Cam Talbot,L,30,26,57:36:00,,,,
914,11/1/17,EDM,PIT,h,Cam Talbot,L,30,27,58:38:00,,,,
916,11/3/17,EDM,NJD,h,Cam Talbot,W,34,31,60:00:00,,,,
918,11/5/17,EDM,DET,h,Cam Talbot,L,35,31,60:00:00,,,,
1489,11/7/17,EDM,NYI,@,Cam Talbot,W,37,36,60:38:00,,,,
1409,11/9/17,EDM,NJD,@,Cam Talbot,W,34,32,64:43:00,,,,
1583,11/11/17,EDM,NYR,@,Cam Talbot,L,33,30,59:04:00,,,,
2311,11/12/17,EDM,WSH,@,Laurent Brossoit,O,19,18,65:00:00,,,,
920,11/14/17,EDM,VEG,h,Cam Talbot,W,24,22,59:58:00,,,,
922,11/16/17,EDM,STL,h,Cam Talbot,L,39,35,59:57:00,,,,
755,11/18/17,EDM,DAL,@,Cam Talbot,L,21,15,60:00:00,,,,
1987,11/21/17,EDM,STL,@,Laurent Brossoit,L,37,31,52:25:00,,,,
839,11/22/17,EDM,DET,@,Cam Talbot,W,22,20,60:00:00,,,,
431,11/24/17,EDM,BUF,@,Laurent Brossoit,L,30,28,58:03:00,,,,
351,11/26/17,EDM,BOS,@,Cam Talbot,W,25,23,59:52:00,,,,
924,11/28/17,EDM,ARI,h,Cam Talbot,W,31,29,64:20:00,,,,
926,11/30/17,EDM,TOR,h,Laurent Brossoit,L,35,30,59:21:00,,,,
519,12/2/17,EDM,CGY,@,Laurent Brossoit,W,34,29,60:00:00,,,,
928,12/6/17,EDM,PHI,h,Laurent Brossoit,L,32,29,59:06:00,,,,
1265,12/9/17,EDM,MTL,@,Laurent Brossoit,W,24,22,59:59:00,,,,
279,12/12/17,EDM,CBJ,@,Laurent Brossoit,W,29,27,59:39:00,,,,
930,12/14/17,EDM,NSH,h,Laurent Brossoit,L,23,19,59:38:00,,,,
1179,12/16/17,EDM,MIN,@,Cam Talbot,W,31,29,60:00:00,,,,
932,12/18/17,EDM,SJS,h,Cam Talbot,W,21,18,60:00:00,,,,
934,12/21/17,EDM,STL,h,Cam Talbot,W,36,34,60:00:00,,,,
936,12/23/17,EDM,MTL,h,Cam Talbot,W,30,29,60:00:00,,,,
2411,12/27/17,EDM,WPG,@,Cam Talbot,L,39,35,57:37:00,,,,
938,12/29/17,EDM,CHI,h,Cam Talbot,O,36,32,60:40:00,,,,
940,12/31/17,EDM,WPG,h,Cam Talbot,L,38,33,59:55:00,,,,
942,1/2/18,EDM,LAK,h,Cam Talbot,L,33,28,60:00:00,,,,
944,1/4/18,EDM,ANA,h,Cam Talbot,W,34,33,64:29:00,,,,
781,1/6/18,EDM,DAL,@,Al Montoya,,14,13,35:15:00,,,,
693,1/7/18,EDM,CHI,@,Cam Talbot,L,29,25,60:00:00,,,,
1349,1/9/18,EDM,NSH,@,Cam Talbot,L,24,22,58:04:00,,,,
41,1/12/18,EDM,ARI,@,Al Montoya,W,19,19,56:33:00,,,,
2257,1/13/18,EDM,VEG,@,Cam Talbot,W,36,34,60:53:00,,,,
946,1/20/18,EDM,VAN,h,Cam Talbot,W,27,25,59:43:00,,,,
948,1/23/18,EDM,BUF,h,Cam Talbot,L,22,18,31:32:00,,,,
950,1/25/18,EDM,CGY,h,Cam Talbot,W,37,34,65:00:00,,,,
952,2/1/18,EDM,COL,h,Al Montoya,O,31,27,61:31:00,,,,
954,2/5/18,EDM,TBL,h,Cam Talbot,W,34,32,60:00:00,,,,
1117,2/7/18,EDM,LAK,@,Cam Talbot,L,26,23,59:20:00,,,,
135,2/9/18,EDM,ANA,@,Cam Talbot,L,34,31,59:27:00,,,,
1937,2/10/18,EDM,SJS,@,Al Montoya,L,29,24,59:50:00,,,,
956,2/12/18,EDM,FLA,h,Cam Talbot,L,39,33,59:32:00,,,,
2267,2/15/18,EDM,VEG,@,Cam Talbot,L,28,24,60:00:00,,,,
57,2/17/18,EDM,ARI,@,Cam Talbot,L,32,31,58:36:00,,,,
221,2/18/18,EDM,COL,@,Cam Talbot,W,26,24,60:00:00,,,,
958,2/20/18,EDM,BOS,h,Cam Talbot,L,45,42,59:15:00,,,,
960,2/22/18,EDM,COL,h,Cam Talbot,W,30,28,62:19:00,,,,
1121,2/24/18,EDM,LAK,@,Cam Talbot,W,33,30,59:56:00,,,,
141,2/25/18,EDM,ANA,@,Al Montoya,W,46,41,63:05:00,,,,
1945,2/27/18,EDM,SJS,@,Cam Talbot,L,36,32,58:57:00,,,,
962,3/1/18,EDM,NSH,h,Cam Talbot,L,42,38,60:00:00,,,,
964,3/3/18,EDM,NYR,h,Cam Talbot,L,34,31,59:21:00,,,,
966,3/5/18,EDM,ARI,h,Cam Talbot,W,35,32,60:50:00,,,,
968,3/8/18,EDM,NYI,h,Cam Talbot,W,31,30,65:00:00,,,,
970,3/10/18,EDM,MIN,h,Cam Talbot,W,33,32,59:57:00,,,,
561,3/13/18,EDM,CGY,@,Cam Talbot,L,32,31,58:11:00,,,,
972,3/14/18,EDM,SJS,h,Al Montoya,O,40,36,62:40:00,,,,
1055,3/17/18,EDM,FLA,@,Cam Talbot,W,42,40,60:00:00,,,,
2121,3/18/18,EDM,TBL,@,Al Montoya,L,40,37,58:44:00,,,,
647,3/20/18,EDM,CAR,@,Cam Talbot,W,33,30,60:00:00,,,,
1713,3/22/18,EDM,OTT,@,Cam Talbot,W,35,33,60:00:00,,,,
974,3/24/18,EDM,LAK,h,Cam Talbot,W,29,27,60:00:00,,,,
976,3/25/18,EDM,ANA,h,Cam Talbot,O,38,33,61:21:00,,,,
978,3/27/18,EDM,CBJ,h,Laurent Brossoit,,9,7,33:07:00,,,,
2207,3/29/18,EDM,VAN,@,Cam Talbot,L,30,28,58:33:00,,,,
569,3/31/18,EDM,CGY,@,Al Montoya,,13,13,43:14:00,,,,
1229,4/2/18,EDM,MIN,@,Cam Talbot,L,39,37,58:48:00,,,,
980,4/5/18,EDM,VEG,h,Cam Talbot,W,33,30,59:45:00,,,,
982,4/7/18,EDM,VAN,h,Cam Talbot,W,38,36,64:58:00,,,,
2051,10/6/17,FLA,TBL,@,Roberto Luongo,L,24,20,58:20:00,,,,
984,10/7/17,FLA,TBL,h,James Reimer,W,30,26,59:16:00,,,,
986,10/12/17,FLA,STL,h,Roberto Luongo,W,39,37,59:30:00,,,,
1809,10/14/17,FLA,PIT,@,James Reimer,L,33,29,58:34:00,,,,
1725,10/17/17,FLA,PHI,@,Roberto Luongo,L,38,34,58:22:00,,,,
988,10/20/17,FLA,PIT,h,Roberto Luongo,,36,33,44:46:00,,,,
2303,10/21/17,FLA,WSH,@,James Reimer,W,42,41,60:00:00,,,,
1235,10/24/17,FLA,MTL,@,James Reimer,L,37,32,60:00:00,,,,
990,10/26/17,FLA,ANA,h,James Reimer,W,34,31,60:00:00,,,,
